1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41, revenue
40202,128,1,2,5,5,4,4,2,2,5,4,4,4,4,3,4,0,0,0,0,0,4,5,1,3,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1149870
37437,75,0,2,9,6,6,6,4,6,10,10,10,10,2,10,7.5,0,0,0,0,0,15,12,3,3,10,0,0,0,0,7.5,7.5,0,0,0,0,0,0,0,0,3956086
38505,83,0,2,2,4,4,4,2,2,5,3,4,4,5,4,4,0,0,0,0,0,2,2,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2999068
38614,128,1,1,5,5,3,5,2,2,5,5,5,4,2,5,4,4,4,4,5,4,5,5,2,2,3,2,2,2,5,3,2,5,5,4,4,4,4,5,2,8904084
39438,69,0,2,4,4,5,5,2,2,5,5,5,5,2,5,5,0,0,0,0,0,3,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3778621
38770,65,1,1,3,5,4,5,2,3,5,3,5,4,5,5,4,3,4,4,1,4,5,5,2,3,2,2,2,2,1,3,3,5,5,4,3,3,4,3,1,2267425
34980,66,0,2,4,5,4,3,1,2,5,4,4,5,4,4,5,0,0,0,0,0,5,5,5,5,5,0,0,0,0,4,3,0,0,0,0,0,0,0,0,5435276
34361,128,1,1,4,5,4,4,1,3,5,5,4,4,2,4,4,3,4,4,2,4,5,5,2,4,3,5,3,4,2,4,2,3,5,5,2,3,5,4,4,4705945
37541,65,1,2,1,1,4,4,2,1,1,4,4,4,5,2,4,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3447890
38321,83,0,1,1,1,3,3,2,1,1,5,5,5,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3008199
39812,128,1,1,4,5,4,4,1,3,5,5,5,5,2,5,5,2,3,3,1,3,4,2,1,2,1,5,2,5,2,2,3,4,3,3,2,3,4,3,3,2058644
38368,129,0,2,3,4,3,4,3,2,5,4,4,4,3,4,4,0,0,0,0,0,5,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3261924
39925,83,0,2,2,3,4,4,2,2,5,5,5,5,1,5,5,0,0,0,0,0,3,1,1,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2371202
39527,128,1,2,4,5,4,4,1,3,5,4,4,5,4,4,5,0,0,0,0,0,1,4,1,2,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4100886
33731,65,0,1,4,5,4,3,1,2,5,4,4,5,5,4,5,2,2,4,2,4,5,5,4,3,5,3,3,3,4,3,2,4,1,3,3,3,4,3,3,3903884
38115,65,1,2,3,5,5,3,1,5,5,5,5,5,2,5,5,0,0,0,0,0,2,5,2,4,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3028267
38951,65,1,1,2,3,4,3,1,5,5,5,5,5,1,5,5,1,1,2,1,4,1,3,1,2,5,1,1,1,1,1,3,5,5,5,3,4,4,3,1,2740687
39099,128,1,2,3,5,4,4,2,5,5,4,5,4,3,5,4,0,0,0,0,0,1,4,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5461700
38438,128,1,1,4,5,4,4,2,3,5,4,4,4,4,4,4,4,4,3,3,3,3,5,1,2,2,3,3,3,1,2,2,4,1,2,2,3,4,3,2,3818055
39121,128,1,1,3,5,4,4,2,2,5,1,4,4,5,2,4,4,4,4,3,3,5,5,5,1,1,5,5,5,1,3,2,5,5,3,3,3,4,3,2,6836483
38503,128,1,1,4,5,5,4,1,5,5,3,4,5,5,3,5,3,4,5,5,4,5,5,5,5,5,5,3,5,1,5,1,5,5,4,3,3,4,4,1,4554237
39351,128,1,1,12,7.5,6,6,4,4,10,8,10,10,6,10,7.5,0,0,0,0,0,25,15,6,4,20,0,0,0,0,7.5,5,0,0,0,0,0,0,0,0,4952255
38618,65,1,2,2,4,5,4,1,2,5,5,5,5,2,5,5,0,0,0,0,0,1,1,1,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2732645
36811,65,1,1,2,3,5,3,1,5,5,5,5,5,1,5,5,1,1,3,1,4,1,3,1,2,1,1,1,1,1,2,3,3,5,5,2,3,4,3,4,4264176
39479,65,0,2,6,6,6,4.5,2,8,10,10,10,8,4,10,6,0,0,0,0,0,5,15,3,2,5,0,0,0,0,5,7.5,0,0,0,0,0,0,0,0,3752885
39318,128,1,1,3,5,5,3,1,2,5,5,5,5,2,5,5,2,2,4,2,4,2,5,2,4,2,1,1,1,4,3,3,5,5,4,2,2,4,3,3,4250758
38708,128,1,1,4,5,5,3,1,2,5,4,5,5,3,5,5,4,4,3,5,4,3,5,3,5,5,4,4,4,4,5,3,4,1,2,2,3,5,5,1,7865428
39436,75,0,2,4,5,4,4,2,2,5,4,4,5,4,4,5,0,0,0,0,0,5,5,3,3,5,0,0,0,0,4,3,0,0,0,0,0,0,0,0,7201784
38077,128,1,2,12,7.5,6,6,2,8,10,10,10,10,4,10,7.5,0,0,0,0,0,15,3,3,3,5,0,0,0,0,7.5,7.5,0,0,0,0,0,0,0,0,8630682
38837,65,1,1,3,5,4,5,3,4,5,4,4,4,5,4,4,1,1,2,1,1,5,5,1,3,2,2,2,2,1,3,3,5,2,3,2,2,2,3,3,2156098
39393,75,0,1,2,2,4,4,2,2,4,4,5,5,4,5,5,0,0,0,0,0,5,4,2,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3273041
40128,85,0,2,2,3,4,4,2,1,1,4,4,5,3,4,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1763231
39900,83,0,2,3,4,4,3,1,2,5,5,5,5,2,5,5,0,0,0,0,0,2,4,2,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5595267
34854,77,0,1,2,4,5,4,1,1,3,4,4,4,4,2,3,0,0,0,0,0,1,2,2,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,4651866
38210,128,1,2,2,4,4,4,1,4,5,5,5,5,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6941173
39887,128,1,1,4,5,4,4,2,2,5,4,4,4,5,3,4,0,0,0,0,0,4,5,2,2,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2390534
38158,65,0,2,2,3,4,3,1,4,5,5,5,5,2,5,5,0,0,0,0,0,1,2,1,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3258837
39548,128,1,2,3,4,4,5,2,2,5,5,5,5,2,5,5,0,0,0,0,0,1,3,1,3,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3004429
37955,128,1,2,4,5,4,4,1,3,5,5,5,5,2,5,5,0,0,0,0,0,3,3,1,3,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3600467
39568,65,1,1,12,7.5,6,6,2,6,10,8,10,10,6,10,7.5,6,4,9,3,12,10,15,6,3,10,4,4,5,2.5,5,7.5,10,15,20,4,18,12,12,2,3164972
38136,128,1,2,12,7.5,6,6,4,6,10,8,8,8,6,8,6,0,0,0,0,0,15,12,3,2,5,0,0,0,0,7.5,5,0,0,0,0,0,0,0,0,4350573
39035,83,0,2,2,4,4,4,2,3,5,5,5,4,2,5,4,4,1,2,2,4,3,1,1,1,1,3,3,3,1,2,3,1,1,3,2,3,1,3,3,5286212
40029,75,0,2,2,2,4,4,3,1,4,5,5,5,2,5,5,0,0,0,0,0,2,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1619683
34527,128,1,1,12,7.5,6,6,2,8,10,10,10,10,4,10,7.5,15,10,15,15,12,10,9,6,3,5,10,10,12.5,5,5,7.5,20,15,25,4,24,15,20,6,2551252
40167,128,1,2,3,5,4,3,1,2,5,5,5,5,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1756069
38725,75,0,2,2,2,4,3,1,1,1,4,5,5,3,5,5,0,0,0,0,0,4,3,1,1,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1882131
39141,128,1,2,4,5,4,5,2,4,5,4,4,4,3,3,4,0,0,0,0,0,5,5,3,5,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,4052733
38791,128,1,1,2,4,3,4,2,3,5,5,5,4,1,5,4,2,2,2,1,4,2,1,1,2,1,5,3,5,5,2,3,5,5,5,4,4,4,3,4,3836721
39323,75,0,1,2,2,4,5,4,2,5,5,5,5,1,5,5,0,0,0,0,0,3,1,1,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3452382
37586,128,1,2,4,5,4,4,1,4,5,5,5,5,2,5,5,0,0,0,0,0,3,5,1,4,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3982767
37595,128,1,1,12,7.5,6,6,2,10,10,10,10,10,4,10,7.5,9,8,12,3,12,10,9,6,3,5,8,8,10,10,10,7.5,5,6,10,6,18,12,12,6,4136425
38568,128,1,1,3,5,4,4,2,2,5,3,4,5,5,4,5,3,2,3,1,4,4,5,5,3,5,5,2,5,3,5,1,4,3,3,2,3,4,3,1,2525375
39358,65,1,2,4,5,4,5,2,2,5,3,4,5,5,4,5,0,0,0,0,0,5,5,5,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3347767
39416,128,1,1,12,7.5,6,6,2,8,10,8,8,8,8,8,6,12,10,12,9,9,20,15,6,4,25,10,8,10,2.5,12.5,2.5,20,9,15,4,12,12,12,4,5500818
37178,128,1,2,5,5,4,5,1,4,5,3,4,4,5,3,4,0,0,0,0,0,5,5,5,5,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,16549064
38315,128,1,2,2,2,4,4,2,2,5,5,5,5,2,5,5,0,0,0,0,0,3,4,1,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,4590423
40110,65,1,2,3,5,3,5,3,4,5,4,4,4,5,4,4,0,0,0,0,0,5,5,1,3,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1904842
39719,65,1,1,9,7.5,6,7.5,8,6,10,10,8,8,4,6,6,3,2,9,3,12,25,12,6,2,10,4,4,5,2.5,7.5,2.5,20,9,20,4,18,12,12,2,3871344
38741,65,0,1,4,5,4,3,1,3,5,5,5,5,1,5,5,2,2,4,2,4,3,3,1,4,4,3,3,3,2,2,3,4,5,5,3,3,4,4,3,6313221
38640,128,1,2,4,5,4,5,1,3,5,5,5,5,2,5,5,0,0,0,0,0,3,5,2,5,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,3727364
37240,128,1,2,2,4,4,4,1,3,5,4,5,5,3,5,5,0,0,0,0,0,2,4,2,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,4066618
38770,75,0,2,2,2,4,3,2,1,5,4,5,5,5,5,5,0,0,0,0,0,5,4,2,2,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3807496
34557,128,1,1,2,4,4,4,2,5,5,4,5,4,3,5,4,4,4,5,5,5,2,4,1,2,1,5,5,5,1,2,3,5,5,5,3,4,4,5,3,5966193
38633,128,1,1,4,4,5,3,1,3,5,5,5,5,2,5,5,3,2,4,1,4,1,3,2,2,3,3,2,3,5,2,3,4,3,3,2,4,4,3,1,4250553
35070,128,1,2,3,5,4,4,2,5,5,4,5,4,3,5,4,0,0,0,0,0,1,4,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,7495092
39288,66,0,2,3,3,4,4,2,2,5,4,5,5,3,5,5,0,0,0,0,0,3,5,1,3,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3351383
38027,128,1,2,5,5,4,4,1,3,5,5,4,4,2,4,4,0,0,0,0,0,5,5,3,4,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,5906596
40003,65,0,2,1,2,5,4,1,2,1,4,5,5,3,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2025297
38482,128,1,1,1,1,4,3,1,2,1,5,5,5,1,5,5,1,1,1,1,1,2,1,1,1,1,1,1,1,5,1,3,5,4,4,3,3,4,2,3,2364478
40032,128,1,2,12,7.5,6,6,2,8,10,10,8,8,4,8,6,0,0,0,0,0,15,9,3,3,5,0,0,0,0,5,7.5,0,0,0,0,0,0,0,0,3426169
37791,66,0,1,3,5,4,4,1,2,5,5,5,5,1,5,5,0,0,0,0,0,3,2,1,2,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2083447
36099,128,1,2,12,7.5,7.5,6,2,10,10,8,8,10,8,8,7.5,0,0,0,0,0,25,15,6,3,25,0,0,0,0,10,7.5,0,0,0,0,0,0,0,0,6782425
39734,84,0,1,3,4,4,4,1,2,5,4,4,5,4,4,5,5,5,3,2,4,3,5,1,3,1,2,2,2,1,2,2,3,1,4,3,4,5,5,3,3410878
39301,83,0,2,2,3,4,4,2,2,5,5,5,5,1,5,5,3,2,4,1,3,3,2,1,2,1,5,1,2,5,1,3,4,4,3,4,4,4,3,5,3753720
39606,83,0,2,2,4,4,4,2,2,5,5,5,5,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1270499
39412,68,0,2,4,5,2,4,2,2,5,4,4,4,3,4,4,0,0,0,0,0,3,2,1,2,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6412623
38377,128,1,2,3,5,4,4,1,4,5,4,5,4,4,5,4,0,0,0,0,0,4,5,2,4,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,6694797
39151,68,0,2,3,4,4,4,1,2,5,2,4,5,5,4,5,0,0,0,0,0,3,5,1,3,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2344689
35050,128,1,1,4,5,4,4,2,4,5,4,4,4,5,3,4,5,5,5,5,5,5,5,5,3,1,5,5,5,1,5,1,5,5,4,2,5,5,5,3,13575224
37884,128,1,2,3,5,4,4,2,5,5,5,5,5,2,5,5,0,0,0,0,0,4,5,2,2,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,9652350
39699,66,0,1,3,4,5,4,2,2,5,4,5,5,4,5,5,5,4,5,5,4,5,5,4,2,5,1,1,1,0,2,3,5,5,5,5,4,5,5,4,4758476
36779,68,0,2,4,5,2,5,2,2,5,4,4,4,3,4,4,0,0,0,0,0,4,4,1,2,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2738052
39421,84,0,2,2,4,4,4,1,2,5,5,5,5,2,5,5,0,0,0,0,0,2,3,1,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4429512
37642,65,0,1,4,5,4,3,1,3,5,5,5,5,2,5,5,1,2,2,1,3,2,5,1,3,4,1,1,4,3,2,3,5,5,3,3,5,4,3,2,4467728
38060,65,0,2,1,2,5,3,1,2,1,5,5,5,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2792031
38152,65,0,2,3,3,6,6,4,2,2,8,10,10,6,10,7.5,0,0,0,0,0,5,3,3,1,5,0,0,0,0,2.5,7.5,0,0,0,0,0,0,0,0,4888774
39202,83,0,1,4,4,4,4,1,2,5,4,5,5,3,5,5,3,5,5,3,4,5,5,3,3,5,2,2,2,3,3,1,5,5,5,3,4,4,4,3,3248660
39637,77,0,2,1,2,5,4,1,2,1,5,4,4,2,4,3,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3570392
37857,65,1,2,2,4,3,5,4,5,5,4,4,4,5,4,4,0,0,0,0,0,1,2,1,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,4219263
39716,65,0,1,6,3,6,6,4,4,10,8,10,10,6,10,7.5,9,8,12,3,12,10,12,6,1,10,2,2,2.5,2.5,5,7.5,15,3,15,6,18,12,16,6,2954086
39669,75,0,2,2,3,4,4,2,1,5,5,5,5,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2993069
34406,128,1,1,4,5,5,4,1,5,5,5,4,4,2,4,4,3,4,2,1,4,2,3,2,2,1,3,3,4,5,3,3,3,2,1,2,2,1,3,3,3784230
37598,84,0,2,3,4,4,4,1,2,5,5,5,5,2,5,5,0,0,0,0,0,2,3,1,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2097022
38326,69,0,1,4,5,5,4,2,2,5,4,5,5,3,5,5,3,4,3,1,3,5,5,4,5,5,3,3,3,2,4,1,5,3,3,2,3,4,3,1,4155435
39571,128,1,1,6,4.5,6,6,4,8,10,10,10,10,4,10,7.5,6,4,12,6,12,5,9,3,2,5,8,8,10,12.5,5,7.5,25,15,25,4,18,12,16,8,4882985
39536,128,1,2,2,4,4,4,2,2,5,4,4,5,3,4,5,0,0,0,0,0,2,2,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8894598
37251,65,1,1,3,5,4,5,3,3,5,4,4,5,4,2,5,1,3,3,1,4,5,5,4,2,2,1,1,1,1,3,1,3,3,3,2,3,4,3,1,2018785
38710,128,1,1,12,7.5,7.5,4.5,2,10,10,10,10,10,4,10,7.5,3,4,9,3,3,10,15,3,4,5,6,4,7.5,5,10,5,25,6,10,4,18,12,12,2,1847826
40180,128,1,1,4,5,4,4,2,3,5,5,5,5,1,5,5,0,0,0,0,0,2,2,2,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3780019
39311,65,0,2,2,3,4,4,2,2,5,4,5,5,3,5,5,0,0,0,0,0,5,4,2,2,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,4067566
36842,128,1,2,2,4,4,4,2,3,5,5,5,4,2,5,4,0,0,0,0,0,2,2,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3445076
34068,128,1,1,12,7.5,6,7.5,2,8,10,8,8,8,10,6,6,15,8,12,6,9,25,15,9,5,15,6,10,10,5,12.5,2.5,25,15,25,6,18,3,16,6,4286645
39390,66,0,2,1,1,4,3,1,1,1,4,5,5,3,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,4263629
37120,65,1,3,1,3,0,5,5,5,1,5,5,5,2,5,5,0,0,0,0,0,1,2,2,1,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3810007
38960,84,0,1,9,6,6,6,4,6,10,6,8,10,10,8,7.5,9,10,15,3,12,15,15,9,2,25,6,4,7.5,2.5,5,7.5,20,9,15,4,24,12,16,2,4780607
38187,73,0,1,3,3,4,4,2,2,5,4,5,5,3,5,5,1,5,4,2,4,5,5,2,1,4,3,3,3,2,2,3,5,5,5,4,2,5,3,2,4015749
37870,66,0,2,3,4,4,4,2,2,5,5,5,5,1,5,5,0,0,0,0,0,3,2,1,2,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7592272
39368,65,1,2,2,4,4,4,1,2,5,5,5,5,1,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2383840
37659,69,0,2,4,5,5,4,2,2,5,4,5,5,3,5,5,0,0,0,0,0,5,5,4,5,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3939804
39383,79,0,2,3,4,3,4,2,1,5,5,5,5,2,5,5,0,0,0,0,0,3,1,1,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3376145
36104,65,1,2,3,4,4,5,3,4,5,4,4,4,5,4,4,0,0,0,0,0,4,5,1,2,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3199619
38162,84,0,2,2,3,3,5,4,2,4,4,4,4,4,4,4,0,0,0,0,0,4,3,2,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5787594
37540,128,1,2,4,5,4,4,2,3,5,4,4,5,5,4,5,0,0,0,0,0,3,2,2,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9262754
37444,75,0,2,3,4,4,4,2,3,5,5,5,5,1,5,5,0,0,0,0,0,2,3,1,2,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2544857
39018,128,1,2,4,5,4,5,2,2,5,5,5,5,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7217634
38595,128,1,2,4,5,3,5,2,2,5,4,4,5,4,4,5,0,0,0,0,0,2,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6363241
