Id,Open Date,City,Bit City,Type,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P19,P20,P21,P22,P23,P28,P29,revenue
64,34527,128,1,1,12,7.5,6,6,2,8,10,10,10,10,4,10,10,9,6,3,5,5,7.5,2551252
65,40167,128,1,2,3,5,4,3,1,2,5,5,5,5,1,5,1,1,1,1,1,1,3,1756069
66,38725,75,0,2,2,2,4,3,1,1,1,4,5,5,3,5,4,3,1,1,2,2,3,1882131
67,39141,128,1,2,4,5,4,5,2,4,5,4,4,4,3,3,5,5,3,5,3,5,1,4052733
68,38791,128,1,1,2,4,3,4,2,3,5,5,5,4,1,5,2,1,1,2,1,2,3,3836721
69,39323,75,0,1,2,2,4,5,4,2,5,5,5,5,1,5,3,1,1,2,1,2,3,3452382
70,37586,128,1,2,4,5,4,4,1,4,5,5,5,5,2,5,3,5,1,4,2,3,3,3982767
71,37595,128,1,1,12,7.5,6,6,2,10,10,10,10,10,4,10,10,9,6,3,5,10,7.5,4136425
72,38568,128,1,1,3,5,4,4,2,2,5,3,4,5,5,4,4,5,5,3,5,5,1,2525375
73,39358,65,1,2,4,5,4,5,2,2,5,3,4,5,5,4,5,5,5,5,5,5,0,3347767
74,39416,128,1,1,12,7.5,6,6,2,8,10,8,8,8,8,8,20,15,6,4,25,12.5,2.5,5500818
75,37178,128,1,2,5,5,4,5,1,4,5,3,4,4,5,3,5,5,5,5,4,5,0,16549064
76,38315,128,1,2,2,2,4,4,2,2,5,5,5,5,2,5,3,4,1,2,1,2,3,4590423
77,40110,65,1,2,3,5,3,5,3,4,5,4,4,4,5,4,5,5,1,3,1,3,2,1904842
78,39719,65,1,1,9,7.5,6,7.5,8,6,10,10,8,8,4,6,25,12,6,2,10,7.5,2.5,3871344
79,38741,65,0,1,4,5,4,3,1,3,5,5,5,5,1,5,3,3,1,4,4,2,3,6313221
80,38640,128,1,2,4,5,4,5,1,3,5,5,5,5,2,5,3,5,2,5,3,5,1,3727364
81,37240,128,1,2,2,4,4,4,1,3,5,4,5,5,3,5,2,4,2,2,1,2,3,4066618
82,38770,75,0,2,2,2,4,3,2,1,5,4,5,5,5,5,5,4,2,2,2,2,3,3807496
83,34557,128,1,1,2,4,4,4,2,5,5,4,5,4,3,5,2,4,1,2,1,2,3,5966193
84,38633,128,1,1,4,4,5,3,1,3,5,5,5,5,2,5,1,3,2,2,3,2,3,4250553
85,35070,128,1,2,3,5,4,4,2,5,5,4,5,4,3,5,1,4,1,1,1,2,3,7495092
86,39288,66,0,2,3,3,4,4,2,2,5,4,5,5,3,5,3,5,1,3,2,2,3,3351383
87,38027,128,1,2,5,5,4,4,1,3,5,5,4,4,2,4,5,5,3,4,2,5,2,5906596
88,40003,65,0,2,1,2,5,4,1,2,1,4,5,5,3,5,1,1,1,1,1,1,2,2025297
89,38482,128,1,1,1,1,4,3,1,2,1,5,5,5,1,5,2,1,1,1,1,1,3,2364478
90,40032,128,1,2,12,7.5,6,6,2,8,10,10,8,8,4,8,15,9,3,3,5,5,7.5,3426169
91,37791,66,0,1,3,5,4,4,1,2,5,5,5,5,1,5,3,2,1,2,2,1,3,2083447
92,36099,128,1,2,12,7.5,7.5,6,2,10,10,8,8,10,8,8,25,15,6,3,25,10,7.5,6782425
93,39734,84,0,1,3,4,4,4,1,2,5,4,4,5,4,4,3,5,1,3,1,2,2,3410878
94,39301,83,0,2,2,3,4,4,2,2,5,5,5,5,1,5,3,2,1,2,1,1,3,3753720
95,39606,83,0,2,2,4,4,4,2,2,5,5,5,5,2,5,1,1,1,1,1,1,3,1270499
96,39412,68,0,2,4,5,2,4,2,2,5,4,4,4,3,4,3,2,1,2,3,2,2,6412623
97,38377,128,1,2,3,5,4,4,1,4,5,4,5,4,4,5,4,5,2,4,5,5,1,6694797
98,39151,68,0,2,3,4,4,4,1,2,5,2,4,5,5,4,3,5,1,3,1,2,3,2344689
99,35050,128,1,1,4,5,4,4,2,4,5,4,4,4,5,3,5,5,5,3,1,5,1,13575224
100,37884,128,1,2,3,5,4,4,2,5,5,5,5,5,2,5,4,5,2,2,1,4,3,9652350
101,39699,66,0,1,3,4,5,4,2,2,5,4,5,5,4,5,5,5,4,2,5,2,3,4758476
102,36779,68,0,2,4,5,2,5,2,2,5,4,4,4,3,4,4,4,1,2,3,1,3,2738052
103,39421,84,0,2,2,4,4,4,1,2,5,5,5,5,2,5,2,3,1,2,1,2,2,4429512
104,37642,65,0,1,4,5,4,3,1,3,5,5,5,5,2,5,2,5,1,3,4,2,3,4467728
105,38060,65,0,2,1,2,5,3,1,2,1,5,5,5,1,5,1,1,1,1,1,1,2,2792031
106,38152,65,0,2,3,3,6,6,4,2,2,8,10,10,6,10,5,3,3,1,5,2.5,7.5,4888774
107,39202,83,0,1,4,4,4,4,1,2,5,4,5,5,3,5,5,5,3,3,5,3,1,3248660
108,39637,77,0,2,1,2,5,4,1,2,1,5,4,4,2,4,1,1,1,1,1,2,3,3570392
109,37857,65,1,2,2,4,3,5,4,5,5,4,4,4,5,4,1,2,1,1,1,3,2,4219263
110,39716,65,0,1,6,3,6,6,4,4,10,8,10,10,6,10,10,12,6,1,10,5,7.5,2954086
111,39669,75,0,2,2,3,4,4,2,1,5,5,5,5,1,5,1,1,1,1,1,2,3,2993069
112,34406,128,1,1,4,5,5,4,1,5,5,5,4,4,2,4,2,3,2,2,1,3,3,3784230
113,37598,84,0,2,3,4,4,4,1,2,5,5,5,5,2,5,2,3,1,2,1,2,2,2097022
114,38326,69,0,1,4,5,5,4,2,2,5,4,5,5,3,5,5,5,4,5,5,4,1,4155435
115,39571,128,1,1,6,4.5,6,6,4,8,10,10,10,10,4,10,5,9,3,2,5,5,7.5,4882985
116,39536,128,1,2,2,4,4,4,2,2,5,4,4,5,3,4,2,2,1,1,1,3,3,8894598
117,37251,65,1,1,3,5,4,5,3,3,5,4,4,5,4,2,5,5,4,2,2,3,1,2018785
118,38710,128,1,1,12,7.5,7.5,4.5,2,10,10,10,10,10,4,10,10,15,3,4,5,10,5,1847826
119,40180,128,1,1,4,5,4,4,2,3,5,5,5,5,1,5,2,2,2,1,1,2,3,3780019
120,39311,65,0,2,2,3,4,4,2,2,5,4,5,5,3,5,5,4,2,2,3,2,3,4067566
121,36842,128,1,2,2,4,4,4,2,3,5,5,5,4,2,5,2,2,1,1,1,2,3,3445076
122,34068,128,1,1,12,7.5,6,7.5,2,8,10,8,8,8,10,6,25,15,9,5,15,12.5,2.5,4286645
123,39390,66,0,2,1,1,4,3,1,1,1,4,5,5,3,5,1,1,1,1,1,2,3,4263629
124,37120,65,1,3,1,3,0,5,5,5,1,5,5,5,2,5,1,2,2,1,2,2,3,3810007
125,38960,84,0,1,9,6,6,6,4,6,10,6,8,10,10,8,15,15,9,2,25,5,7.5,4780607
126,38187,73,0,1,3,3,4,4,2,2,5,4,5,5,3,5,5,5,2,1,4,2,3,4015749
127,37870,66,0,2,3,4,4,4,2,2,5,5,5,5,1,5,3,2,1,2,1,3,3,7592272
128,39368,65,1,2,2,4,4,4,1,2,5,5,5,5,1,5,1,1,1,1,1,3,2,2383840
129,37659,69,0,2,4,5,5,4,2,2,5,4,5,5,3,5,5,5,4,5,5,4,1,3939804
130,39383,79,0,2,3,4,3,4,2,1,5,5,5,5,2,5,3,1,1,1,1,2,3,3376145
131,36104,65,1,2,3,4,4,5,3,4,5,4,4,4,5,4,4,5,1,2,1,3,2,3199619
132,38162,84,0,2,2,3,3,5,4,2,4,4,4,4,4,4,4,3,2,1,1,2,3,5787594
133,37540,128,1,2,4,5,4,4,2,3,5,4,4,5,5,4,3,2,2,1,1,3,3,9262754
134,37444,75,0,2,3,4,4,4,2,3,5,5,5,5,1,5,2,3,1,2,2,2,3,2544857
135,39018,128,1,2,4,5,4,5,2,2,5,5,5,5,2,5,1,1,1,1,1,3,3,7217634
136,38595,128,1,2,4,5,3,5,2,2,5,4,4,5,4,4,2,1,1,1,1,3,3,6363241
